Event,EntryIndex,EntryTime,EntryPrice,ExitIndex,ExitTime,ExitPrice,TradePnL,CumulativePnL,Equity
ENTRY,12,2025-05-12 09:27:00+05:30,1020.05,,,,,,
EXIT,12,2025-05-12 09:27:00+05:30,1020.05,62,2025-05-12 10:17:00+05:30,1140.65,120.6,120.6,100121
ENTRY,68,2025-05-12 10:23:00+05:30,1155,,,,,,
EXIT,68,2025-05-12 10:23:00+05:30,1155,83,2025-05-12 10:38:00+05:30,1129.4,-25.6,95,100095
ENTRY,114,2025-05-12 11:09:00+05:30,1143.3,,,,,,
EXIT,114,2025-05-12 11:09:00+05:30,1143.3,151,2025-05-12 11:46:00+05:30,1160.45,17.15,112.15,100112
ENTRY,187,2025-05-12 12:22:00+05:30,1158.3,,,,,,
EXIT,187,2025-05-12 12:22:00+05:30,1158.3,188,2025-05-12 12:23:00+05:30,1147.7,-10.6,101.55,100102
ENTRY,197,2025-05-12 12:32:00+05:30,1219.8,,,,,,
EXIT,197,2025-05-12 12:32:00+05:30,1219.8,220,2025-05-12 12:55:00+05:30,1223,3.2,104.75,100105
ENTRY,228,2025-05-12 13:03:00+05:30,1227,,,,,,
EXIT,228,2025-05-12 13:03:00+05:30,1227,237,2025-05-12 13:12:00+05:30,1214.5,-12.5,92.25,100092
ENTRY,248,2025-05-12 13:23:00+05:30,1252,,,,,,
EXIT,248,2025-05-12 13:23:00+05:30,1252,281,2025-05-12 13:56:00+05:30,1254.95,2.95,95.2,100095
ENTRY,298,2025-05-12 14:13:00+05:30,1282.1,,,,,,
EXIT,298,2025-05-12 14:13:00+05:30,1282.1,327,2025-05-12 14:42:00+05:30,1315,32.9,128.1,100128
ENTRY,341,2025-05-12 14:56:00+05:30,1343.9,,,,,,
EXIT,341,2025-05-12 14:56:00+05:30,1343.9,361,2025-05-12 15:16:00+05:30,1353,9.1,137.2,100137
ENTRY,365,2025-05-12 15:20:00+05:30,1359.95,,,,,,
EXIT,365,2025-05-12 15:20:00+05:30,1359.95,378,2025-05-13 09:18:00+05:30,1261,-98.95,38.25,100038
ENTRY,406,2025-05-13 09:46:00+05:30,1150,,,,,,
EXIT,406,2025-05-13 09:46:00+05:30,1150,408,2025-05-13 09:48:00+05:30,1150.05,0.05,38.3,100038
ENTRY,430,2025-05-13 10:10:00+05:30,1189,,,,,,
EXIT,430,2025-05-13 10:10:00+05:30,1189,448,2025-05-13 10:28:00+05:30,1142,-47,-8.7,99991.3
ENTRY,468,2025-05-13 10:48:00+05:30,1147,,,,,,
EXIT,468,2025-05-13 10:48:00+05:30,1147,495,2025-05-13 11:15:00+05:30,1163.95,16.95,8.25,100008
ENTRY,508,2025-05-13 11:28:00+05:30,1201,,,,,,
EXIT,508,2025-05-13 11:28:00+05:30,1201,522,2025-05-13 11:42:00+05:30,1186.95,-14.05,-5.8,99994.2
ENTRY,548,2025-05-13 12:08:00+05:30,1184.6,,,,,,
EXIT,548,2025-05-13 12:08:00+05:30,1184.6,568,2025-05-13 12:28:00+05:30,1163.95,-20.65,-26.45,99973.5
ENTRY,649,2025-05-13 13:49:00+05:30,1071.75,,,,,,
EXIT,649,2025-05-13 13:49:00+05:30,1071.75,659,2025-05-13 13:59:00+05:30,1058.7,-13.05,-39.5,99960.5
ENTRY,692,2025-05-13 14:32:00+05:30,1059.95,,,,,,
EXIT,692,2025-05-13 14:32:00+05:30,1059.95,721,2025-05-13 15:01:00+05:30,1051,-8.95,-48.45,99951.5
ENTRY,746,2025-05-13 15:26:00+05:30,1029.55,,,,,,
EXIT,746,2025-05-13 15:26:00+05:30,1029.55,776,2025-05-14 09:41:00+05:30,1116,86.45,38,100038
ENTRY,781,2025-05-14 09:46:00+05:30,1142.05,,,,,,
EXIT,781,2025-05-14 09:46:00+05:30,1142.05,796,2025-05-14 10:01:00+05:30,1125,-17.05,20.95,100021
ENTRY,802,2025-05-14 10:07:00+05:30,1131.85,,,,,,
EXIT,802,2025-05-14 10:07:00+05:30,1131.85,828,2025-05-14 10:33:00+05:30,1120,-11.85,9.1,100009
ENTRY,873,2025-05-14 11:18:00+05:30,1107.95,,,,,,
EXIT,873,2025-05-14 11:18:00+05:30,1107.95,896,2025-05-14 11:41:00+05:30,1100.95,-7,2.1,100002
ENTRY,922,2025-05-14 12:07:00+05:30,1069.15,,,,,,
EXIT,922,2025-05-14 12:07:00+05:30,1069.15,946,2025-05-14 12:31:00+05:30,1068.65,-0.5,1.6,100002
ENTRY,983,2025-05-14 13:08:00+05:30,1030.6,,,,,,
